产品,交易量,未结订单,外在价值,Rho,Theta,Vega,Gamma,NDelta,Δ|增量,最终,大小,IV 报价,买价,标记,卖价,IV 询价,大小
BTC-26DEC25-20000-C,-,33.2,,57.55708,-0.04266,0.10059,-,,0.99996,0.8195,7.9,-,0.8305,0.831,0.8315,130.58,10.8
BTC-26DEC25-20000-P,2.8,541.2,,-0.01446,-0.04265,0.10058,-,,-0.00004,0.0001,-,-,-,-,0.0001,111.52,14.4
BTC-26DEC25-30000-C,-,32.6,,86.11103,-0.57211,1.4069,-,,0.99937,0.736,10.3,-,0.746,0.7466,0.7475,110.11,55.4
BTC-26DEC25-30000-P,161.3,556.5,,-0.24628,-0.57211,1.4069,-,,-0.00063,0.0001,-,-,-,0.0001,0.0001,86.4,18
BTC-26DEC25-40000-C,-,20.4,,114.23054,-1.71374,4.66546,-,,0.99765,0.64,4.8,-,0.6615,0.6624,0.6635,92.89,35.7
BTC-26DEC25-40000-P,-,321.2,,-0.91245,-1.7136,4.66509,-,,-0.00235,0.0004,40,73.42,0.0002,0.0003,0.0005,80.96,46.4
BTC-26DEC25-50000-C,-,35.8,,141.783,-3.27913,10.10621,-,,0.99443,0.551,52.5,-,0.577,0.5783,0.5795,78.2,35.7
BTC-26DEC25-50000-P,0.4,868.6,,-2.14584,-3.27913,10.10621,-,,-0.00557,0.0007,25,66.57,0.0006,0.0007,0.0008,68.99,0.1
BTC-26DEC25-60000-C,-,8.7,,168.19536,-5.60297,19.54628,-,,0.9882,0.4625,49.1,-,0.493,0.4945,0.496,67.37,47.8
BTC-26DEC25-60000-P,1.5,587,,-4.51881,-5.60252,19.54469,-,,-0.0118,0.0015,40.9,59.2,0.0013,0.0015,0.0016,61.03,0.1
BTC-26DEC25-65000-C,-,1,,180.7179,-7.10816,26.40801,-,,0.98327,0.446,47.8,48.63,0.4515,0.4528,0.454,61.14,31.1
BTC-26DEC25-65000-P,1.1,1902.4,,-6.38959,-7.10816,26.40801,-,,-0.01673,0.002,15.8,55.99,0.0019,0.002,0.0021,56.9,0.1
BTC-26DEC25-70000-C,-,13.9,,192.42812,-9.02562,35.61372,-,,0.9762,0.3825,46.7,47.77,0.41,0.4114,0.413,57.97,31.1
