产品,交易量,未结订单,外在价值,Rho,Theta,Vega,Gamma,NDelta,Δ|增量,最终,大小,IV 报价,买价,标记,卖价,IV 询价,大小
ETH-26DEC25-500-C,-,1254,,1.43909,-0.00066,0.00132,-,,0.99999,0.889,55,-,0.8915,0.8923,0.893,172.19,400
ETH-26DEC25-500-P,-,12778,,-0.00018,-0.00066,0.00132,-,,-0.00001,0.0002,-,-,-,-,0.0001,140.03,100
ETH-26DEC25-1000-C,-,1401,,2.86268,-0.04092,0.08459,-,,0.99899,0.778,546,-,0.7835,0.7847,0.786,129.42,546
ETH-26DEC25-1000-P,-,15770,,-0.01586,-0.04092,0.08459,-,,-0.00101,0.0002,699,96.42,0.0001,0.0002,0.0003,107.11,103
ETH-26DEC25-1200-C,-,303,,3.41458,-0.09142,0.19355,-,,0.9975,0.729,546,-,0.7405,0.7419,0.743,115.44,546
ETH-26DEC25-1200-P,-,6803,,-0.03966,-0.09142,0.19355,-,,-0.0025,0.0011,400,94.66,0.0003,0.0005,0.0007,104.1,400
ETH-26DEC25-1300-C,-,15,,3.68965,-0.11451,0.24914,-,,0.99669,0.654,546,-,0.719,0.7205,0.7215,109.28,546
ETH-26DEC25-1300-P,-,1445,,-0.05245,-0.11451,0.24914,-,,-0.00331,0.0015,1,94.34,0.0005,0.0006,0.0009,101.24,846
ETH-26DEC25-1400-C,-,83,,3.9603,-0.14429,0.32121,0.00001,,0.9956,0.647,546,-,0.6975,0.6992,0.7005,107.74,546
ETH-26DEC25-1400-P,-,1258,,-0.06966,-0.14429,0.32121,0.00001,,-0.0044,0.0019,769,90.95,0.0006,0.0008,0.0011,98.1,846
ETH-26DEC25-1500-C,-,1780,,4.22687,-0.17889,0.40711,0.00001,,0.99426,0.6675,546,-,0.676,0.6779,0.679,102.22,546
ETH-26DEC25-1500-P,10,2187,,-0.09093,-0.17888,0.40709,0.00001,,-0.00574,0.0012,9,90.33,0.0009,0.0011,0.0013,94.83,846
ETH-26DEC25-1600-C,-,1066,,4.49246,-0.21157,0.4946,0.00001,,0.99285,0.654,546,-,0.6545,0.6566,0.658,100.13,546
ETH-26DEC25-1600-P,-,3971,,-0.1132,-0.21158,0.49462,0.00001,,-0.00715,0.0025,770,87.7,0.0011,0.0013,0.0016,92.35,846
ETH-26DEC25-1700-C,-,795,,4.74727,-0.26004,0.61865,0.00001,,0.99077,0.6335,546,70.55,0.634,0.6354,0.6365,95.09,546
ETH-26DEC25-1700-P,9,2626,,-0.14625,-0.26004,0.61865,0.00001,,-0.00923,0.0018,400,86.61,0.0015,0.0017,0.002,90.33,846
ETH-26DEC25-1800-C,-,1886,,5.00109,-0.30495,0.74263,0.00001,,0.98862,0.611,546,-,0.612,0.6143,0.6155,92.78,546
ETH-26DEC25-1800-P,-,2082,,-0.18029,-0.30496,0.74266,0.00001,,-0.01138,0.0034,400,84.89,0.0019,0.0021,0.0024,87.99,896
ETH-26DEC25-1900-C,-,2551,,5.25216,-0.34926,0.87286,0.00002,,0.98629,0.581,546,72.06,0.5915,0.5932,0.5945,90.26,546
ETH-26DEC25-1900-P,-,4209,,-0.21706,-0.34926,0.87286,0.00002,,-0.01371,0.0048,592,82.79,0.0023,0.0025,0.0028,85.45,50
ETH-26DEC25-2000-C,-,37054,,5.49123,-0.40723,1.03845,0.00002,,0.98322,0.545,546,72.88,0.5705,0.5722,0.5735,87.61,546
ETH-26DEC25-2000-P,2,7438,,-0.26585,-0.40723,1.03845,0.00002,,-0.01678,0.0035,400,81.43,0.0029,0.0031,0.0034,83.65,50
ETH-26DEC25-2200-C,-,3730,,5.9489,-0.53282,1.41739,0.00003,,0.97578,0.5295,546,68.79,0.528,0.5305,0.5325,84.86,546
ETH-26DEC25-2200-P,-,7799,,-0.3839,-0.53284,1.41745,0.00003,,-0.02423,0.008,400,78.3,0.0043,0.0045,0.0047,79.61,1
ETH-26DEC25-2400-C,-,3002,,6.36552,-0.68275,1.88879,0.00004,,0.96578,0.487,546,71.05,0.4875,0.4893,0.4915,80.89,546
ETH-26DEC25-2400-P,8,7267,,-0.54297,-0.68275,1.88879,0.00004,,-0.03422,0.008,1430,74.9,0.006,0.0064,0.007,77.35,1273
ETH-26DEC25-2500-C,-,5782,,6.54795,-0.77639,2.17995,0.00005,,0.95922,0.442,546,69.97,0.467,0.4691,0.471,78.64,546
ETH-26DEC25-2500-P,19,15074,,-0.64839,-0.77639,2.17995,0.00005,,-0.04078,0.008,6,74.31,0.0075,0.0077,0.008,75.37,51
ETH-26DEC25-2600-C,-,3872,,6.72786,-0.86123,2.467,0.00005,,0.95245,0.4182,547,69.62,0.447,0.4489,0.451,77.15,547
ETH-26DEC25-2600-P,26,8401,,-0.75631,-0.8612,2.46691,0.00005,,-0.04754,0.0105,6,73.24,0.009,0.0091,0.0095,74.17,51
ETH-26DEC25-2800-C,3,8999,,7.01324,-1.07951,3.17559,0.00007,,0.93452,0.394,547,66.65,0.4065,0.4096,0.412,74.83,547
ETH-26DEC25-2800-P,13,7575,,-1.04666,-1.07951,3.17559,0.00007,,-0.06548,0.014,19,70.91,0.0125,0.0129,0.013,71.64,1
